Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description,
1114200,88,Latin Letter Lowercase G,0,L,56,Ll,Latin,,,
1114201,89,Latin Letter Lowercase H,0,L,57,Ll,Latin,,,
1114202,90,Latin Letter Lowercase I,0,L,58,Ll,Latin,,Special casing considerations for Turkish,
1114203,91,Latin Letter Lowercase J,0,L,59,Ll,Latin,,,
1114204,92,Latin Letter Lowercase K,0,L,60,Ll,Latin,,,
1114205,93,Latin Letter Lowercase L,0,L,61,Ll,Latin,,,
1114206,94,Latin Letter Lowercase M,0,L,62,Ll,Latin,,,
1114207,95,Latin Letter Lowercase N,0,L,63,Ll,Latin,,,
1114208,96,Latin Letter Lowercase O,0,L,64,Ll,Latin,,,
1114209,97,Latin Letter Lowercase P,0,L,65,Ll,Latin,,,
1114210,98,Latin Letter Lowercase Q,0,L,66,Ll,Latin,,,
1114211,99,Latin Letter Lowercase R,0,L,67,Ll,Latin,,,
1114212,100,Latin Letter Lowercase S,0,L,68,Ll,Latin,,,
1114213,101,Latin Letter Lowercase T,0,L,69,Ll,Latin,,,
1114214,102,Latin Letter Lowercase U,0,L,70,Ll,Latin,,,
1114215,103,Latin Letter Lowercase V,0,L,71,Ll,Latin,,,
1114216,104,Latin Letter Lowercase W,0,L,72,Ll,Latin,,,
1114217,105,Latin Letter Lowercase X,0,L,73,Ll,Latin,,,
1114218,106,Latin Letter Lowercase Y,0,L,74,Ll,Latin,,,
1114219,107,Latin Letter Lowercase Z,0,L,75,Ll,Latin,,,
1114220,108,Left brace,0,ON,,Ps,Punctuation,left curly bracket,,
1114221,109,Vertical line,0,ON,,Sm,Symbols,"vertical bar, pipe",,
1114222,110,Right brace,0,ON,,Pe,Punctuation,right curly bracket,,
1114223,111,Tilde punctuation,0,ON,,Sm,Symbols,,,
1114224,112,DCE Version Selector 3.0a,0,BN,,!Cx,DCE versions,,,
1114225,113,End DCE content,0,BN,,!Cx,DCE,,,
