Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description
1114513,401,Begin Mac OS file metadata description,0,BN,,!Cx,.Semantic,:~ [^402]+ 402,Begins a preserved Mac OS Finder and archive metadata record.
1114514,402,End Mac OS file metadata description,0,BN,,!Cx,.Semantic,,Terminates a preserved Mac OS Finder and archive metadata record.
1114515,403,Mac OS Finder file type,0,BN,,!Cx,.Semantic,:~ ([asciiprintable:4] | [data]),Four-character Mac OS Finder file type code.
1114516,404,Mac OS Finder file creator,0,BN,,!Cx,.Semantic,:~ ([asciiprintable:4] | [data]),Four-character Mac OS Finder file creator code.
1114517,405,Mac OS Finder label color,0,BN,,!Cx,.Semantic,:~ [number:Natural0&<8] | (482 | 483 | 484 | 485 | 486 | 487 | 488 | 489),Mac OS Finder label color code.
1114518,406,Mac OS Finder flags,0,BN,,!Cx,.Semantic,:~ [number:Natural0] | (388 [^389]+ 389),Mac OS Finder flags.
1114519,407,Mac OS Finder icon location,0,BN,,!Cx,.Semantic,:~ 511 [f523:],Mac OS Finder icon coordinates in QuickDraw grid.
1114520,408,Mac OS Finder window folder identifier,0,BN,,!Cx,.Semantic,:~ [number:Integer],Mac OS Finder window folder identifier.
1114521,409,File flag: nodump,0,BN,,!Cx,.Semantic:fileflag,nodump,Do not include file in backups.
1114522,410,File flag: user immutable,0,BN,,!Cx,.Semantic:fileflag,uchg,User immutable.
1114523,411,File flag: user append,0,BN,,!Cx,.Semantic:fileflag,uappnd,User append-only.
1114524,412,File flag: opaque,0,BN,,!Cx,.Semantic:fileflag,opaque,Directory opaque to union mounts.
1114525,413,File flag: hidden,0,BN,,!Cx,.Semantic:fileflag,hidden,Hidden in GUI or Finder.
1114526,414,File flag: archived,0,BN,,!Cx,.Semantic:fileflag,arch,System archived flag.
1114527,415,File flag: system immutable,0,BN,,!Cx,.Semantic:fileflag,schg,Superuser immutable.
1114528,416,File flag: system append,0,BN,,!Cx,.Semantic:fileflag,sappnd,Superuser append-only.
1114529,417,File flag: system no unlink,0,BN,,!Cx,.Semantic:fileflag,sunlnk,Superuser cannot unlink or rename.
1114530,418,File flag: user no unlink,0,BN,,!Cx,.Semantic:fileflag,uunlnk,User cannot unlink or rename.
1114531,419,File flag: system,0,BN,,!Cx,.Semantic:fileflag,system,Windows/DOS system file attribute.
1114532,420,File flag: sparse,0,BN,,!Cx,.Semantic:fileflag,sparse,Windows/DOS sparse file attribute.
1114533,421,File flag: offline,0,BN,,!Cx,.Semantic:fileflag,offline,Windows/CIFS offline storage attribute.
1114534,422,File flag: read only,0,BN,,!Cx,.Semantic:fileflag,readonly,Read-only attribute.
1114535,423,File flag: reparse,0,BN,,!Cx,.Semantic:fileflag,reparse,Reparse point attribute.
1114536,424,File flag: snapshot,0,BN,,!Cx,.Semantic:fileflag,snapshot,Snapshot file attribute.
1114537,425,File flag: user archive,0,BN,,!Cx,.Semantic:fileflag,uarch,User archived flag.
1114538,426,File flag: user no cache,0,BN,,!Cx,.Semantic:fileflag,unocache,User do not cache file data.
1114539,427,File flag: user no history,0,BN,,!Cx,.Semantic:fileflag,unohistory,User do not retain history or snapshots.
1114540,428,File flag: user cache,0,BN,,!Cx,.Semantic:fileflag,ucache,User enable data swapcache.
1114541,429,File flag: user xlink,0,BN,,!Cx,.Semantic:fileflag,uxlink,User cross-link hardlink boundary.
1114542,430,File flag: system no history,0,BN,,!Cx,.Semantic:fileflag,snohistory,Superuser do not retain history or snapshots.
1114543,431,File flag: system no cache,0,BN,,!Cx,.Semantic:fileflag,snocache,Superuser disable data swapcache.
1114544,432,File flag: system xlink,0,BN,,!Cx,.Semantic:fileflag,sxlink,Superuser cross-link hardlink boundary.
1114545,433,File flag: compressed,0,BN,,!Cx,.Semantic:fileflag,compressed,Compressed file attribute.
1114546,434,File flag: tracked,0,BN,,!Cx,.Semantic:fileflag,tracked,Document tracking active.
1114547,435,File flag: data vault,0,BN,,!Cx,.Semantic:fileflag,datavault,System integrity data vault.
1114548,436,File flag: restricted,0,BN,,!Cx,.Semantic:fileflag,restricted,System integrity restricted.
1114549,437,File flag: firmlink,0,BN,,!Cx,.Semantic:fileflag,firmlink,APFS firmlink.
1114550,438,File flag: dataless,0,BN,,!Cx,.Semantic:fileflag,dataless,APFS dataless file.
1114551,439,File flag: system log,0,BN,,!Cx,.Semantic:fileflag,slog,NetBSD WAPBL log file inode.
1114552,440,File flag: snapshot invalid,0,BN,,!Cx,.Semantic:fileflag,snapinval,NetBSD invalid snapshot inode.
1114553,441,File flag: secure removal,0,BN,,!Cx,.Semantic:fileflag,secrm,Secure deletion.
1114554,442,File flag: undelete,0,BN,,!Cx,.Semantic:fileflag,unrm,Undelete.
1114555,443,File flag: sync,0,BN,,!Cx,.Semantic:fileflag,sync,Synchronous file updates.
1114556,444,File flag: no atime,0,BN,,!Cx,.Semantic:fileflag,noatime,Do not update access time.
