0,00
1,40
2,
3,
4,
5,
6,
7,
8,
9,
10,
11,
12,
13,FD
14,FE
15,02
16,01
17,FF
18,20
19,21
20,22
21,23
22,24
23,25
24,26
25,27
26,28
27,29
28,2A
29,2B
30,2C
31,2D
32,2E
33,2F
34,30
35,31
36,32
37,33
38,34
39,35
40,36
41,37
42,38
43,39
44,3A
45,3B
46,3C
47,3D
48,3E
49,3F
50,41
51,42
52,43
53,44
54,45
55,46
56,47
57,48
58,49
59,4A
60,4B
61,4C
62,4D
63,4E
64,4F
65,50
66,51
67,52
68,53
69,54
70,55
71,56
72,57
73,58
74,59
75,5A
76,5B
77,5C
78,5D
79,5E
80,5F
81,60
82,61
83,62
84,63
85,64
86,65
87,66
88,67
89,68
90,69
91,6A
92,6B
93,6C
94,6D
95,6E
96,6F
97,70
98,71
99,72
100,73
101,74
102,75
103,76
104,77
105,78
106,79
107,7A
108,7B
109,7C
110,7D
111,7E
112,
113,01
114,80
115,81
