00,0
01,16
02,15
03,113
04,
05,
06,
07,
08,
09,
0A,
0B,
0C,
0D,
0E,
0F,
10,
11,
12,
13,
14,
15,
16,
17,
18,
19,
1A,
1B,
1C,
1D,
1E,
1F,
20,18
21,19
22,20
23,21
24,22
25,23
26,24
27,25
28,26
29,27
2A,28
2B,29
2C,30
2D,31
2E,32
2F,33
30,34
31,35
32,36
33,37
34,38
35,39
36,40
37,41
38,42
39,43
3A,44
3B,45
3C,46
3D,47
3E,48
3F,49
40,1
41,50
42,51
43,52
44,53
45,54
46,55
47,56
48,57
49,58
4A,59
4B,60
4C,61
4D,62
4E,63
4F,64
50,65
51,66
52,67
53,68
54,69
55,70
56,71
57,72
58,73
59,74
5A,75
5B,76
5C,77
5D,78
5E,79
5F,80
60,81
61,82
62,83
63,84
64,85
65,86
66,87
67,88
68,89
69,90
6A,91
6B,92
6C,93
6D,94
6E,95
6F,96
70,97
71,98
72,99
73,100
74,101
75,102
76,103
77,104
78,105
79,106
7A,107
7B,108
7C,109
7D,110
7E,111
7F,
80,114
81,115
82,
83,
84,
85,
86,
87,
88,
89,
8A,
8B,
8C,
8D,
8E,
8F,
90,
91,
92,
93,
94,
95,
96,
97,
98,
99,
9A,
9B,
9C,
9D,
9E,
9F,
A0,
A1,
A2,
A3,
A4,
A5,
A6,
A7,
A8,
A9,
AA,
AB,
AC,
AD,
AE,
AF,
B0,
B1,
B2,
B3,
B4,
B5,
B6,
B7,
B8,
B9,
BA,
BB,
BC,
BD,
BE,
BF,
C0,
C1,
C2,
C3,
C4,
C5,
C6,
C7,
C8,
C9,
CA,
CB,
CC,
CD,
CE,
CF,
D0,
D1,
D2,
D3,
D4,
D5,
D6,
D7,
D8,
D9,
DA,
DB,
DC,
DD,
DE,
DF,
E0,
E1,
E2,
E3,
E4,
E5,
E6,
E7,
E8,
E9,
EA,
EB,
EC,
ED,
EE,
EF,
F0,
F1,
F2,
F3,
F4,
F5,
F6,
F7,
F8,
F9,
FA,
FB,
FC,
FD,13
FE,14
FF,17
