"Tangut definitions for Tangut block. Data from Andrew West's https://babelstone.co.uk/Unicode/unicode.js, https://www.unicode.org/wg2/docs/n4724-FiveAdditionalTangut.pdf, https://www.unicode.org/wg2/docs/n4851-TangutAdditions.pdf, and https://www.unicode.org/L2/L2023/23246-wg2-n5217r2.pdf",definition,reading,possible variant or error,notes,source
170E0,imperial court,,,,
170E1,hat,,,,
170E2,doubt,,,,
170E3,to remain,,,,
170E4,relief,,,,
170E5,scabies,,,,
170E6,city,,,,
170E7,to rely on,,,,
170E8,to change irregularly,,,,
170E9,remains,,,,
170EA,level,,,,
170EB,poor,,,,
170EC,fear,,,,
170ED,death,,,,
170EE,plaint,,,,
170EF,to fall ill frequently,,,,
170F0,sea,,,,
170F1,backbone,,,,
170F2,to do,,,,
170F3,,,,,
170F4,to milk,,,,
170F5,palace,,,,
170F6,illness,,,,
170F7,servant,,,,
170F8,to leave,,,,
170F9,to be stunned,,,,
170FA,to belch,,,,
170FB,wisdom,,,,
170FC,an insect name,,,,
170FD,despaired,,,,
170FE,nasal cavity,,,,
170FF,a place name,,,,
17100,boots,,,,
17101,,,,,
17102,a transliteration,,,,
17103,a transliteration,,,,
17104,,,,,
17105,a transliteration,,,,
17106,a transliteration,,,,
17107,,,,,
17108,to appear,,,,
17109,a transliteration,,,,
1710A,all,,,,
1710B,a transliteration,,,,
1710C,a transliteration,,,,
1710D,a transliteration,,,,
1710E,brave,,,,
1710F,a transliteration,,,,
17110,a transliteration,,,,
17111,all,,,,
17112,broom,,,,
17113,stars,,,,
17114,to patrol,,,,
17115,to take out,,,,
17116,to walk,,,,
17117,a transliteration,,,,
17118,a transliteration,,,,
17119,a transliteration,,,,
1711A,a transliteration,,,,
1711B,to meet,,,,
1711C,,,,,
1711D,earlobe,,,,
1711E,witch,,,,
1711F,a kind of official position,,,,
17120,leader,,,,
17121,scorched,,,,
17122,,,,,
17123,crucible,,,,
17124,wizard,,,,
17125,wizard,,,,
17126,wizard,,,,
17127,,,,,
17128,to burn,,,,
17129,to pass through,,,,
1712A,to violate,,,,
1712B,nature,,,,
1712C,relation by marriage,,,,
1712D,to gather,,,,
1712E,stutter,,,,
1712F,clear,,,,
17130,dry,,,,
17131,deep green,,,,
17132,,,,,
17133,big,,,,
17134,pair,,,,
17135,harsh and unreasonable,,,,
17136,to damage,,,,
17137,to give birth,,,,
17138,impressive and dignified manners,,,,
17139,,,,,
1713A,an insect name,,,,
1713B,to know,,,,
1713C,to fall,,,,
1713D,hill,,,,
1713E,to count,,,,
1713F,to hinder,,,,
17140,bright star,,,,
17141,inner,,,,
17142,to manage,,,,
17143,level,,,,
17144,thick,,,,
17145,to harm,,,,
17146,quiet,,,,
17147,mould,,,,
17148,to tie,,,,
17149,a conjunction,,,,
1714A,smooth,,,,
1714B,not,,,,
1714C,winding,,,,
1714D,ignorant,,,,
1714E,coral,,,,
1714F,to penetrate,,,,
17150,true,,,,
17151,morning,,,,
17152,short,,,,
17153,mountain,,,,
17154,be not,,,,
17155,dark (of complexion),,,,
17156,alms,,,,
17157,to kneel,,,,
17158,pit,,,,
17159,behind,,,,
1715A,to cast sidelong glances,,,,
1715B,the sun,,,,
1715C,to abandon,,,,
1715D,foolish,,,,
1715E,smooth,,,,
1715F,sharp,,,,
17160,ox,,,,
17161,horn,,,,
17162,to survey,,,,
17163,firefly,,,,
17164,sorrowful,,,,
17165,to beat,,,,
17166,anger,,,,
17167,tendon,,,,
17168,nothing,,,,
17169,absurd,,,,
1716A,to lose,,,,
1716B,to revere,,,,
1716C,abortion,,,,
1716D,to chop,,,,
1716E,to announce,,,,
1716F,to prohibit,,,,
17170,slow,,,,
17171,map,,,,
17172,ceremony,,,,
17173,a transliteration,,,,
17174,avarice,,,,
17175,land,,,,
17176,to take out,,,,
17177,tooth,,,,
17178,to roar,,,,
17179,east,,,,
1717A,goat,,,,
1717B,lamb,,,,
1717C,to drink,,,,
1717D,dim,,,,
1717E,rib,,,,
1717F,muddy,,,,
17180,salt,,,,
17181,scattered,,,,
17182,to tie,,,,
17183,weft,,,,
17184,measure,,,,
17185,tail,,,,
17186,clumsy,,,,
17187,to heal,,,,
17188,wide,,,,
17189,to drive,,,,
1718A,uneven,,,,
1718B,to cry,,,,
1718C,a transliteration,,,,
1718D,to abandon,,,,
1718E,sheep,,,,
1718F,goat,,,,
17190,to arrive,,,,
17191,to swallow,,,,
17192,slack,,,,
17193,a surname,,,,
17194,discipline,,,,
17195,internal organs,,,,
17196,farmland,,,,
17197,short,,,,
17198,to contract,,,,
17199,warm,,,,
1719A,to shake,,,,
1719B,to tie,,,,
1719C,to flee,,,,
1719D,tooth,,,,
1719E,foresight,,,,
1719F,a surname,,,,
171A0,to subdue,,,,
171A1,high,,,,
171A2,a kind of vegetable,,,,
171A3,full,,,,
171A4,true,,,,
171A5,decrepit and behind the times,,,,
171A6,concave,,,,
171A7,new,,,,
171A8,laborer,,,,
171A9,toil,,,,
171AA,to exempt,,,,
171AB,to think of,,,,
171AC,impressive and dignified manners,,,,
171AD,to pursue,,,,
171AE,to return,,,,
171AF,a kind of vegetable,,,,
171B0,to return,,,,
171B1,to close,,,,
171B2,succession,,,,
171B3,calm,,,,
171B4,honest,,,,
171B5,,,,,
171B6,turnip,,,,
171B7,many,,,,
171B8,an insect name,,,,
171B9,straight,,,,
171BA,lazy,,,,
171BB,alone,,,,
171BC,doubt,,,,
171BD,to take out,,,,
171BE,inferior,,,,
171BF,loose,,,,
171C0,to throw,,,,
171C1,(Buddhist) chan,,,,
171C2,to spread,,,,
171C3,trench,,,,
171C4,to spread,,,,
171C5,narrow,,,,
171C6,impressive and dignified manners,,,,
171C7,monk,,,,
171C8,cloth,,,,
171C9,Han people,,,,
171CA,a transliteration,,,,
171CB,an auxiliary word,,,,
171CC,fortune,,,,
171CD,to catch fire,,,,
171CE,yoke,,,,
171CF,a surname,,,,
171D0,,,,,
171D1,happy,,,,
171D2,rope,,,,
171D3,,,,,
171D4,,,,,
171D5,open wide,,,,
171D6,to twine,,,,
171D7,to tie,,,,
171D8,to extricate,,,,
171D9,to extricate,,,,
171DA,a kind of vegetable,,,,
171DB,firefly,,,,
171DC,to go,,,,
171DD,light,,,,
171DE,hole,,,,
171DF,monkey,,,,
171E0,to pierce,,,,
171E1,one of the five two-hour periods into which the night was formerly divided,,,,
171E2,arduous,,,,
171E3,to dislike,,,,
171E4,to fall,,,,
171E5,inclined to one side,,,,
171E6,calamity,,,,
171E7,horse disease,,,,
171E8,end,,,,
171E9,ancestor,,,,
171EA,hair,,,,
171EB,to build,,,,
171EC,in disorder,,,,
171ED,to spread,,,,
171EE,shadow,,,,
171EF,slow,,,,
171F0,to think of,,,,
171F1,ovum,,,,
171F2,toil,,,,
171F3,to dislike,,,,
171F4,disease,,,,
171F5,old,,,,
171F6,a transliteration,,,,
171F7,tattered,,,,
171F8,daylight,,,,
171F9,salted,,,,
171FA,fault,,,,
171FB,dirt,,,,
171FC,goat,,,,
171FD,forefathers,,,,
171FE,to move,,,,
171FF,disease,,,,
17200,to fall,,,,
17201,sad,,,,
17202,pot,,,,
17203,deer,,,,
17204,to abuse,,,,
17205,to return,,,,
17206,devil,,,,
17207,north,,,,
17208,egg,,,,
17209,to lose,,,,
1720A,,,,,
1720B,winter,,,,
1720C,to steal,,,,
1720D,ghost,,,,
1720E,disease,,,,
1720F,toil,,,,
17210,not,,,,
17211,hard punishment,,,,
17212,elbow,,,,
17213,winecup,,,,
17214,a kind of bird,,,,
