ID,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description,
283,"Association football, emoji style",0,ON,,So,Emoji,<style>281,,
284,"Association football, emoji style, bouncing",0,ON,,So,Emoji,<approx>283,,
285,"Association football, emoji style, rolling",0,ON,,So,Emoji,<approx>283,,
