Dc,Short,Name (!=deprecated),◌,⇆,Aa,Type,Script,"Aliases; >=xref, <=decompos., :=Dc syntax",Description,
,2,Begin separator,0,BN,,!Cx,Semantic,,Begin a DCE separator string.,
,3,End separator,0,BN,,!Cx,Semantic,,End a DCE separator string.,
,4,Range,0,BN,,!Cx,Semantic,,The DCE range character. Used to represent ranges in DCE. See the wiki for more information.,
,5,Record summation,0,BN,,!Cx,Semantic,,Used to denote the union of two records. See the wiki for more information.,
,6,Begin number,0,BN,,!Cx,Semantic,,Begin a DCE number.,
,7,End number,0,BN,,!Cx,Semantic,,End a DCE number.,
,8,Unknown value,0,BN,,!Cx,Semantic,,Substitution character for an unknown value.,
,9,Gregorian calendar identifier,0,BN,,!Cx,Semantic,,Internal DCE calendar identifier for the Gregorian calendar.,
,10,Positive,0,BN,,!Cx,Semantic,,Positive value (syntactical representation — This is not the + character),
,11,Negative,0,BN,,!Cx,Semantic,,Negative (syntactical representation — This is not the − character),
,114,Begin unbounded content,0,BN,,!Cx,Semantic,,"This denotes content that is not ""bound"" (given a context of a page, etc. to be within) — in other words it is what a plain text file is to a word processing file with page formatting — content with no context given for presenting it",
,115,End unbounded content,0,BN,,!Cx,Semantic,,,
,235,Begin document,0,BN,,!Cx,Semantic,,Beginning of a document,
,236,End document,0,BN,,!Cx,Semantic,,,
,298,Begin associativity group,0,BN,,!Cx,Semantic,,Equivalent to an opening parenthesis in many languages or in arithmetic expressions.,
,299,End associativity group,0,BN,,!Cx,Semantic,,Equivalent to a closing parenthesis in many languages or in arithmetic expressions.,
,300,Type union,0,BN,,!Cx,Semantic,:~ [type] [type],Indicates that two types are both applicable to data.,
,301,Type transformation,0,BN,,!Cx,Semantic,:~ [type] [type:transformation],Describes a transformation operation as part of a type description. Only “transformation” formats would make sense to use with this.,
,302,Type conversion,0,BN,,!Cx,Semantic,:~ [type] [type],Describes a conversion operation from one type to another.,
,303,Type transmutation,0,BN,,!Cx,Semantic,:~ [type] [type],Describes a transmutation operation (reinterpreting one type as another without converting).,
