1D562,qopf;
1D563,ropf;
1D564,sopf;
1D565,topf;
1D566,uopf;
1D567,vopf;
1D568,wopf;
1D569,xopf;
001F5,gacute;
0002A,ast;
0002A,midast;
02A00,bigodot;
02A00,xodot;
02A0C,iiiint;
02A0C,qint;
02A0D,fpartint;
02A01,bigoplus;
02A01,xoplus;
02A02,bigotimes;
02A02,xotime;
02A2A,minusdu;
02A2D,loplus;
02A2E,roplus;
02A2F,Cross;
02A3A,triminus;
02A3B,tritime;
02A3C,intprod;
02A3C,iprod;
02A3F,amalg;
02A04,biguplus;
02A04,xuplus;
02A4A,cupcup;
02A4B,capcap;
02A4C,ccups;
02A4D,ccaps;
02A5A,andv;
02A5B,orv;
02A5C,andd;
02A5D,ord;
02A5F,wedbar;
02A06,bigsqcup;
02A06,xsqcup;
02A6A,simdot;
02A6D 00338,ncongdot;
02A6D,congdot;
02A6E,easter;
02A6F,apacir;
02A7A,gtcir;
02A7B,ltquest;
02A7C,gtquest;
02A7D 00338,nleqslant;
02A7D 00338,nles;
02A7D 00338,NotLessSlantEqual;
02A7D,leqslant;
02A7D,les;
02A7D,LessSlantEqual;
02A7E 00338,ngeqslant;
02A7E 00338,nges;
02A7E 00338,NotGreaterSlantEqual;
02A7E,geqslant;
02A7E,ges;
02A7E,GreaterSlantEqual;
02A7F,lesdot;
02A8A,gnap;
02A8A,gnapprox;
02A8B,lEg;
02A8B,lesseqqgtr;
02A8C,gEl;
02A8C,gtreqqless;
02A8D,lsime;
02A8E,gsime;
02A8F,lsimg;
02A9A,eg;
02A9D,siml;
02A9E,simg;
02A9F,simlE;
02A10,cirfnint;
02A11,awint;
02A12,rppolint;
02A13,scpolint;
02A14,npolint;
02A15,pointint;
02A16,quatint;
02A17,intlarhk;
02A22,pluscir;
02A23,plusacir;
02A24,simplus;
02A25,plusdu;
02A26,plussim;
02A27,plustwo;
02A29,mcomma;
02A30,timesd;
02A31,timesbar;
02A33,smashp;
02A34,lotimes;
02A35,rotimes;
02A36,otimesas;
02A37,Otimes;
02A38,odiv;
02A39,triplus;
02A40,capdot;
02A42,ncup;
02A43,ncap;
02A44,capand;
02A45,cupor;
02A46,cupcap;
02A47,capcup;
02A48,cupbrcap;
02A49,capbrcup;
02A50,ccupssm;
02A53,And;
02A54,Or;
02A55,andand;
02A56,oror;
02A57,orslope;
02A58,andslope;
02A66,sdote;
02A70 00338,napE;
02A70,apE;
02A71,eplus;
02A72,pluse;
02A73,Esim;
02A74,Colone;
02A75,Equal;
02A77,ddotseq;
02A77,eDDot;
02A78,equivDD;
02A79,ltcir;
02A80,gesdot;
02A81,lesdoto;
02A82,gesdoto;
02A83,lesdotor;
02A84,gesdotol;
02A85,lap;
02A85,lessapprox;
02A86,gap;
02A86,gtrapprox;
02A87,lne;
02A87,lneq;
02A88,gne;
02A88,gneq;
02A89,lnap;
02A89,lnapprox;
02A90,gsiml;
02A91,lgE;
02A92,glE;
02A93,lesges;
02A94,gesles;
02A95,els;
02A95,eqslantless;
02A96,egs;
02A96,eqslantgtr;
02A97,elsdot;
02A98,egsdot;
02A99,el;
02AA0,simgE;
02AA1 00338,NotNestedLessLess;
02AA1,LessLess;
02AA2 00338,NotNestedGreaterGreater;
02AA2,GreaterGreater;
02AA4,glj;
02AA5,gla;
02AA6,ltcc;
02AA7,gtcc;
02AA8,lescc;
02AA9,gescc;
02AAA,smt;
02AAB,lat;
02AAC 0FE00,smtes;
02AAC,smte;
02AAD 0FE00,lates;
02AAD,late;
02AAE,bumpE;
02AAF 00338,NotPrecedesEqual;
02AAF 00338,npre;
02AAF 00338,npreceq;
02AAF,pre;
02AAF,PrecedesEqual;
02AAF,preceq;
02AB0 00338,NotSucceedsEqual;
02AB0 00338,nsce;
02AB0 00338,nsucceq;
02AB0,sce;
02AB0,SucceedsEqual;
02AB0,succeq;
02AB3,prE;
02AB4,scE;
02AB5,precneqq;
02AB5,prnE;
02AB6,scnE;
02AB6,succneqq;
02AB7,prap;
02AB7,precapprox;
02AB8,scap;
02AB8,succapprox;
02AB9,precnapprox;
02AB9,prnap;
02ABA,scnap;
02ABA,succnapprox;
02ABB,Pr;
02ABC,Sc;
02ABD,subdot;
02ABE,supdot;
02ABF,subplus;
02AC0,supplus;
02AC1,submult;
02AC2,supmult;
02AC3,subedot;
02AC4,supedot;
02AC5 00338,nsubE;
02AC5 00338,nsubseteqq;
02AC5,subE;
02AC5,subseteqq;
02AC6 00338,nsupE;
02AC6 00338,nsupseteqq;
02AC6,supE;
02AC6,supseteqq;
02AC7,subsim;
02AC8,supsim;
02ACB 0FE00,varsubsetneqq;
02ACB 0FE00,vsubnE;
02ACB,subnE;
02ACB,subsetneqq;
02ACC 0FE00,varsupsetneqq;
02ACC 0FE00,vsupnE;
02ACC,supnE;
02ACC,supsetneqq;
02ACF,csub;
02AD0,csup;
02AD1,csube;
02AD2,csupe;
02AD3,subsup;
02AD4,supsub;
02AD5,subsub;
02AD6,supsup;
02AD7,suphsub;
02AD8,supdsub;
02AD9,forkv;
02ADA,topfork;
02ADB,mlcp;
02AE4,Dashv;
02AE4,DoubleLeftTee;
02AE6,Vdashl;
02AE7,Barv;
02AE8,vBar;
02AE9,vBarv;
02AEB,Vbar;
02AEC,Not;
02AED,bNot;
02AEE,rnmid;
02AEF,cirmid;
02AF0,midcir;
02AF1,topcir;
02AF2,nhpar;
02AF3,parsim;
02AFD 020E5,nparsl;
02AFD,parsl;
0002B,plus;
0002C,comma;
002C6,circ;
002C7,caron;
002C7,Hacek;
002D8,breve;
002D8,Breve;
002D9,DiacriticalDot;
002D9,dot;
002DA,ring;
002DB,ogon;
002DC,DiacriticalTilde;
002DC,tilde;
002DD,dblac;
002DD,DiacriticalDoubleAcute;
0002E,period;
0002F,sol;
0003A,colon;
003A0,Pi;
003A1,Rho;
003A3,Sigma;
003A4,Tau;
003A5,Upsilon;
003A6,Phi;
003A7,Chi;
003A8,Psi;
003A9,ohm;
003A9,Omega;
0003B,semi;
003B1,alpha;
003B2,beta;
003B3,gamma;
003B4,delta;
003B5,epsi;
003B5,epsilon;
003B6,zeta;
003B7,eta;
003B8,theta;
003B9,iota;
003BA,kappa;
003BB,lambda;
003BC,mu;
003BD,nu;
003BE,xi;
003BF,omicron;
0003C 020D2,nvlt;
0003C,lt
0003C,LT
0003C,lt;
0003C,LT;
003C0,pi;
003C1,rho;
003C2,sigmaf;
003C2,sigmav;
003C2,varsigma;
003C3,sigma;
003C4,tau;
003C5,upsi;
003C5,upsilon;
003C6,phi;
003C7,chi;
003C8,psi;
003C9,omega;
0003D 020E5,bne;
0003D,equals;
003D1,thetasym;
003D1,thetav;
003D1,vartheta;
003D2,Upsi;
003D2,upsih;
003D5,phiv;
003D5,straightphi;
003D5,varphi;
003D6,piv;
003D6,varpi;
003DC,Gammad;
003DD,digamma;
003DD,gammad;
0003E 020D2,nvgt;
0003E,gt
0003E,GT
0003E,gt;
0003E,GT;
0003F,quest;
003F0,kappav;
003F0,varkappa;
003F1,rhov;
003F1,varrho;
003F5,epsiv;
003F5,straightepsilon;
003F5,varepsilon;
003F6,backepsilon;
003F6,bepsi;
0005B,lbrack;
0005B,lsqb;
0005C,bsol;
0005D,rbrack;
0005D,rsqb;
0005E,Hat;
0005F,lowbar;
0005F,UnderBar;
0007B,lbrace;
0007B,lcub;
0007C,verbar;
0007C,vert;
0007C,VerticalLine;
0007D,rbrace;
0007D,rcub;
00009,Tab;
0010A,Cdot;
0010B,cdot;
0010C,Ccaron;
0010D,ccaron;
0010E,Dcaron;
0010F,dcaron;
0011A,Ecaron;
0011B,ecaron;
0011C,Gcirc;
0011D,gcirc;
0011E,Gbreve;
0011F,gbreve;
0012A,Imacr;
0012B,imacr;
0012E,Iogon;
0012F,iogon;
0013A,lacute;
0013B,Lcedil;
0013C,lcedil;
0013D,Lcaron;
0013E,lcaron;
0013F,Lmidot;
0014A,ENG;
0014B,eng;
0014C,Omacr;
0014D,omacr;
0015A,Sacute;
0015B,sacute;
0015C,Scirc;
0015D,scirc;
0015E,Scedil;
0015F,scedil;
0016A,Umacr;
0016B,umacr;
0016C,Ubreve;
0016D,ubreve;
0016E,Uring;
0016F,uring;
0017A,zacute;
0017B,Zdot;
0017C,zdot;
0017D,Zcaron;
0017E,zcaron;
020AC,euro;
020DB,tdot;
020DB,TripleDot;
020DC,DotDot;
00021,excl;
021A0,Rarr;
021A0,twoheadrightarrow;
021A1,Darr;
021A2,larrtl;
021A2,leftarrowtail;
021A3,rarrtl;
021A3,rightarrowtail;
021A4,LeftTeeArrow;
021A4,mapstoleft;
021A5,mapstoup;
021A5,UpTeeArrow;
021A6,map;
021A6,mapsto;
021A6,RightTeeArrow;
021A7,DownTeeArrow;
021A7,mapstodown;
021A9,hookleftarrow;
021A9,larrhk;
021AA,hookrightarrow;
021AA,rarrhk;
021AB,larrlp;
021AB,looparrowleft;
021AC,looparrowright;
021AC,rarrlp;
021AD,harrw;
021AD,leftrightsquigarrow;
021AE,nharr;
021AE,nleftrightarrow;
021B0,lsh;
021B0,Lsh;
021B1,rsh;
021B1,Rsh;
021B2,ldsh;
021B3,rdsh;
021B5,crarr;
021B6,cularr;
021B6,curvearrowleft;
021B7,curarr;
021B7,curvearrowright;
021BA,circlearrowleft;
021BA,olarr;
021BB,circlearrowright;
021BB,orarr;
021BC,leftharpoonup;
021BC,LeftVector;
021BC,lharu;
021BD,DownLeftVector;
021BD,leftharpoondown;
021BD,lhard;
021BE,RightUpVector;
021BE,uharr;
021BE,upharpoonright;
021BF,LeftUpVector;
021BF,uharl;
021BF,upharpoonleft;
021C0,rharu;
021C0,rightharpoonup;
021C0,RightVector;
021C1,DownRightVector;
021C1,rhard;
021C1,rightharpoondown;
021C2,dharr;
021C2,downharpoonright;
021C2,RightDownVector;
021C3,dharl;
021C3,downharpoonleft;
021C3,LeftDownVector;
021C4,RightArrowLeftArrow;
021C4,rightleftarrows;
021C4,rlarr;
021C5,udarr;
021C5,UpArrowDownArrow;
021C6,LeftArrowRightArrow;
021C6,leftrightarrows;
021C6,lrarr;
021C7,leftleftarrows;
021C7,llarr;
021C8,upuparrows;
021C8,uuarr;
021C9,rightrightarrows;
021C9,rrarr;
021CA,ddarr;
021CA,downdownarrows;
021CB,leftrightharpoons;
021CB,lrhar;
021CB,ReverseEquilibrium;
021CC,Equilibrium;
021CC,rightleftharpoons;
021CC,rlhar;
021CD,nlArr;
021CD,nLeftarrow;
021CE,nhArr;
021CE,nLeftrightarrow;
021CF,nrArr;
021CF,nRightarrow;
021D0,DoubleLeftArrow;
021D0,lArr;
021D0,Leftarrow;
021D1,DoubleUpArrow;
021D1,uArr;
021D1,Uparrow;
021D2,DoubleRightArrow;
021D2,Implies;
021D2,rArr;
021D2,Rightarrow;
021D3,dArr;
021D3,DoubleDownArrow;
021D3,Downarrow;
021D4,DoubleLeftRightArrow;
021D4,hArr;
021D4,iff;
021D4,Leftrightarrow;
021D5,DoubleUpDownArrow;
021D5,Updownarrow;
021D5,vArr;
021D6,nwArr;
021D7,neArr;
021D8,seArr;
021D9,swArr;
021DA,lAarr;
021DA,Lleftarrow;
021DB,rAarr;
021DB,Rrightarrow;
